Miseq_run,sample,Hash,nReads
8,CP_201807C.3,a111e09d3b9718208a4185b51c9ce5362d4763f0,14
4,FH_201710A.1,715b15172975ac5a2baf00514000ffdd3f88b237,4
2,LL_201707A.1,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,411
2,TR_201707C.3,a55f760aa6a6ee0f925c0e7341fed52678435c7a,50
7,TW_201805C.1,67b2f44d90d95348a5dac8d855192046ace7bd0e,79
7,SA_201801A.2,a318b5b4b76abc8a009bff4063cc65f94f68f7b6,61
8,FH_201803A.3,2e46798c86232e17e938f4f8e09662274901fe66,7
4,LK_201711A.2,80cb3ab197b6527771c46906f322e3980f7de15f,13
6,LK_201706A.2,65be932ba79946306a24076cf0e15d584f443e15,48
3,SA_201705C.1,2914f2e941126b01ef8ab48a80202d8b28e4a98f,57
4,LK_201710A.2,5c3232d391626f800f6739cb73c7a0684eeca6a3,2
6,FH_201706C.3,3c94788621a6903acba45519bf310957a9bea20e,25
8,LK_201807C.3,3cc9f319d518ef7fff0648d1eea86d64003f7830,176
7,SA_201803A.1,bfe544b591fcf03d8050d69261dfcc59901e4646,30
1,PO_201703D.1,cbfc5a373ffba1442245708d2904af20c6c637e9,187
3,PO_201705C.1,148df2a4d876dd652dc1ab82185332f64e2ba879,2
5,SA_201703A.1,d13c23a0ea32fc57891f85c61e71e1cea6585af9,11
3,LL_201705C.2,817f93b4a1b49b96e776a617383b8879666423f5,87
4,FH_201709C.3,0003d13b8cad4275643e0b56de447d4b65e0bbc7,12
5,TR_201703B.3,a68ca700b401e06e23bdde27d4756019a1e3a0eb,84
8,LK_201805A.3,2706c3c9408af9a3b42a5306ba31c089195b8fd0,56
1,TW_201703D.2,0a5cb7a0eb64b726f79296edf743cfb89a8fa9a3,26
3,SA_201705B.2,340d0667109bc8d93495ae8fd38f12bc3a2d7406,69
7,TW_201807A.1,b3b7552ad4cb087f2533f45f05c840503002203e,275
5,LL_201709C.1,af59f2ac215864fff699d8b4aa1a4ebe4932776e,56
7,LL_201805C.3,300c75e18f93a5276fb35c46c9fa05c0eaa4b62a,34
2,PO_201707C.3,06794a753de1a54298296d4d7ec0fefc889d2273,7
6,TR_201711A.3,32162e451e12cdf5cf3628007e99b0efa1ba946b,55
8,LK_201807B.2,fd05bdceb9694a94ff577e82c205951e3e3890ec,12
2,TW_201708A.2,f08fc304a5a543cbe8fd5e2a8a66a6d93e07910b,4
7,LL_201803B.3,89775a04e3eb408cdab2fd09ca3942e5fdbe1deb,525
6,FH_201707C.1,c38d5b7ae10dc20395146aae21693d3a543edca0,47
3,TR_201705A.1,74bd536a982117e99a75e40240e0e3b1b1f81a5c,208
5,SA_201711A.1,d91e4f5a7edc004a4ac60506d91bf2a3ed5b17f1,472
6,SA_201711C.3,01f6037375daefe9312ecf69647f99f053c40d80,6
3,TR_201706B.3,30412b790f0abc180655a516e2a90ff0b554fc29,17
6,CP_201706B.1,699e77f25c900c9255a2e41b67e8fe160bd54762,39
3,SA_201706C.3,fe8758405451abf5a0a8ac39fed19f41370f0a40,82
8,LK_201805B.2,ebf59a028d4147c834c3d2f5e3fa85bf98050a24,33
2,LL_201708B.2,4ceeeb0d45821c901cf48c4bac3cbfc2ef85ec38,29
5,FH_201706A.3,391312bf9c2c070b0d1afdbc609959fec1c1773a,49
7,TW_201807A.1,40c2384a04ff887b1e2605871103de753d7d9d06,16
1,TW_201703D.2,6c8a24dc9a68fb951192b9d67b123b76ef14c802,360
1,PO_201703D.3,83334fa70e3fa4e07973c5ed12903166a1da716f,205
7,LL_201805C.3,3f26db2e11ebdd679026e332d60a0f5bf71756f1,74
4,CP_201711A.1,a40e89eb43d7503dcb5479963feb75af699a7d7c,131
5,LL_201709C.1,bdbe960e4273c14243ea32eebc40ba40fa6a2824,15
8,CP_201805C.2,daa78b8511e9f512afdcbbcaff0d1030926b710d,25
3,PO_201706C.1,aa95cfda1fec3b5fe71cb3c76e250e1ffb7e6787,70
5,FH_201707A.1,243b0ee3206bd1fb74f342b873fd010315a395e5,135
5,FH_201708C.2,34cdf55b1b94725a122f2926508a29ed60aea543,19
1,LL_201703D.1,52ac6f8082f0cfa8b07863f388b5c15ef1ccb145,233
1,TW_201703F.2,2e3cf2d001dda06a12af2f0be4cb085a2a1f1719,456
1,PO_201703F.2,a64ab751b69ad1c2dc45814951dd0b3fce5c88aa,7241
8,CP_201805C.2,fb269152bd387c81efc3917e09c655d394fddf76,14
5,SA_201703B.2,f8cc939e969331c93d31ef139a62816b20d1e395,255
2,TW_201708C.2,1a95bfda9deba89c5460031f9aa1abe74c949931,7
7,TW_201801A.2,7237bd9dda56dafaf30572f138dae69d125c24c6,299
3,PO_201706C.3,a760f3f29621dc967f9161e6b98e9b4253802d01,4
3,SA_201705C.2,484b2a75964b75771b9f6f33702471dd3f6807f1,5
5,FH_201708B.2,9ebd0bcbae3f4ee1f10ba13d858e85af17744e67,21
3,TW_201706B.3,4b878acce00f9a3d5cdc1f3344ec325a7dd28784,1551
4,FH_201709C.2,376fc25a26e475c65e0dc6eaa0c3cc01611af798,472
8,LK_201803A.2,7bc409766246ae19b68c4b6804644ee61dd62e94,4
3,LL_201705B.1,74bd536a982117e99a75e40240e0e3b1b1f81a5c,77
8,FH_201803C.2,8da6a90264f11ade3077e3ec214bc9995e17e14c,3618
7,TR_201805B.3,4b878acce00f9a3d5cdc1f3344ec325a7dd28784,80
5,LK_201706A.1,890f469bfa1268a3d87003ab6abcd9f245236875,12
3,TR_201705B.2,401056fec673fe4aaa1bd46840d87fbc0d3f7921,10
3,PO_201706C.3,58f62c44424a119a1d0f5b707d97c27eb50427a0,1740
